city,state,lga,population2026,growthRate,note
"Kano","Kano","Kano (Metro Area)",17510247,0.031585573558790436,""
"Lagos","Lagos","Lagos (Metro Area)",14881845,0.024821783687768884,""
"Ibadan","Oyo","Ibadan (Metro Area)",2098855,0.022569706654713917,""
"Abuja Municipal Area Council","Federal Capital Territory","Abuja Municipal Area Council",2057985,0.04995484855132726,""
"Abuja","Federal Capital Territory","Abuja Municipal Area Council",2057985,0.04995484855132726,""
"Benin City","Edo","Benin City (Metro Area)",1770251,0.02469037900064608,""
"Port Harcourt Metro","Rivers","Port Harcourt Metro (Metro Area)",1576535,0.02297605776555578,""
"Kaduna","Kaduna","Kaduna (Metro Area)",1249777,0.02469126692477097,""
"Nasarawa","Kano","Nasarawa",1110822,0.03158492994592366,"Name also exists as an LGA in Nasarawa; source CSV had two unlabeled rows for 'Nasarawa' so this state/population pairing is our best estimate, not confirmed."
"Ifo","Ogun","Ifo",1047201,0.03374882652048883,""
"Ado-Odo/Ota","Ogun","Ado-Odo/Ota",1024015,0.03374773492431249,""
"Bauchi","Bauchi","Bauchi",1019100,0.0368983603555022,""
"Maiduguri","Borno","Maiduguri",870475,0.02415932400013654,""
"Port Harcourt","Rivers","Port Harcourt",848279,0.022975614638693687,""
"Ningi","Bauchi","Ningi",796827,0.03690464261965709,""
"Gusau","Zamfara","Gusau",788471,0.03666524670516336,""
"Dala","Kano","Dala",779914,0.031583152125031155,""
"Obio/Akpor","Rivers","Obio-Akpor",728256,0.022976573924110122,""
"Toro","Bauchi","Toro",714152,0.036896361471672856,""
"Jos North","Plateau","Jos North",708367,0.0244200491409019,""
"Igabi","Kaduna","Igabi",701626,0.024693377419609197,""
"Kano Municipal","Kano","Kano Municipal",691483,0.03158841668543921,""
"Aba South","Abia","Aba South",683712,0.02376770449165133,""
"Ungogo","Kano","Ungogo",681165,0.0315836501037392,""
"Alkaleri","Bauchi","Alkaleri",677633,0.03690028430739467,""
"Idemili North","Anambra","Idemili North",671068,0.022383511889526808,""
"Gwale","Kano","Gwale",666446,0.031584682705896316,""
"Zaria","Kaduna","Zaria",662930,0.0246925984032893,""
"Katsina","Katsina","Katsina",657441,0.03696173701552197,""
"Kaduna South","Kaduna","Kaduna South",655983,0.024693247940016372,""
"Akko","Gombe","Akko",642707,0.03273975948529073,""
"Birnin Kudu","Jigawa","Birnin Kudu",618476,0.034457035333472774,""
"Akure South","Ondo","Akure South",616088,0.027191682269636086,""
"Oredo","Edo","Oredo",610005,0.0246915031933157,""
"Bwari","Federal Capital Territory","Bwari",607760,0.049951109621557466,""
"Ilorin West","Kwara","Ilorin West",606923,0.02571889708554087,""
"Chikun","Kaduna","Chikun",606371,0.024694216216764264,""
"Ikpoba-Okha","Edo","Ikpoba-Okha",606035,0.02469091966616621,""
"Katagum","Bauchi","Katagum",604798,0.036896706024753145,""
"Zurmi","Zamfara","Zurmi",604016,0.03665971001757473,""
"Maru","Zamfara","Maru",602280,0.03665862281447607,""
"Kaduna North","Kaduna","Kaduna North",593794,0.024689078443519863,""
"Gamawa","Bauchi","Gamawa",587132,0.036905171880932786,""
"Kaura Namoda","Zamfara","Kaura-Namoda",586353,0.03666268280953866,""
"Yenagoa","Bayelsa","Yenagoa",579235,0.02517473111142965,""
"Aguata","Anambra","Aguata",576006,0.02238212553869756,""
"Ganjuwa","Bauchi","Ganjuwa",574881,0.03690710455449753,""
"Gboko","Benue","Gboko",571875,0.023222567347055634,""
"Lafia","Nasarawa","Lafia",567694,0.027507891459847666,""
"Egor","Edo","Egor",554210,0.02468670150020902,""
"Lere","Kaduna","Lere",553331,0.024688934609138125,""
"Tsafe","Zamfara","Tsafe",548471,0.03666412763456073,""
"Kumbotso","Kano","Kumbotso",548340,0.03158880931014818,""
"Ijebu North","Ogun","Ijebu North",544842,0.03374986244293754,""
"Misau","Bauchi","Misau",539614,0.0369036661548896,""
"Gwaram","Jigawa","Gwaram",534307,0.03445425170035099,""
"Fune","Yobe","Fune",531543,0.02867875306740153,""
"Bungudu","Zamfara","Bungudu",531505,0.03666825952545816,""
"Southern Ijaw","Bayelsa","Southern Ijaw",529078,0.025170126025019002,""
"Kafin Hausa","Jigawa","Kafin Hausa",526298,0.034457816642981864,""
"Gezawa","Kano","Gezawa",525787,0.03157991802876636,""
"Birnin Kebbi","Kebbi","Birnin Kebbi",524642,0.034038141639664676,""
"Zangon-Kataf","Kaduna","Zangon Kataf",519609,0.024693987422276686,""
"Ado Ekiti","Ekiti","Ado Ekiti",519578,0.025553064157021188,""
"Bichi","Kano","Bichi",518315,0.031579387319682795,""
"Wasagu/Danko","Kebbi","Wasagu/Danko",518131,0.03404088018935325,""
"Ibadan North East","Oyo","Ibadan North East",517937,0.022572378500465895,""
"Darazo","Bauchi","Darazo",515908,0.03689887830143368,""
"Gombe","Gombe","Gombe",508249,0.03273885117355535,""
"Jos South","Plateau","Jos South",504514,0.024420949182414997,""
"Kankara","Katsina","Kankara",502597,0.03694954279866636,""
"Kiru","Kano","Kiru",497598,0.03158409745357749,""
"Sagamu","Ogun","Shagamu",496992,0.03374815659144659,""
"Ilaje","Ondo","Ilaje",495627,0.027187057650738033,""
"Dutse","Jigawa","Dutse",494454,0.034452891925705,""
"Ondo West","Ondo","Ondo West",494093,0.027199018731419278,""
"Gada","Sokoto","Gada",492762,0.034707800593406946,""
"Yamaltu/Deba","Gombe","Yamaltu/Deba",487096,0.032742291472756424,""
"Mangu","Plateau","Mangu",486891,0.02441903279085178,""
"Abeokuta South","Ogun","Abeokuta South",486146,0.03375053692102892,""
"Nsukka","Enugu","Nsukka",486076,0.022835547026244463,""
"Shira","Bauchi","Shira",482955,0.03689366663016802,""
